size,time,top_individuals,crossover,mutation_rate,board_size
60,0.010938224792480468,4,permutations,0.24,5
125,0.018282458782196045,5,product,0.07,5
100,0.018751249313354493,5,permutations,0.07,5
75,0.02407939910888672,5,combinations_with_rep,0.07,5
125,0.01906376123428345,5,product,0.08,5
100,0.017513225078582762,5,permutations,0.08,5
75,0.020001323223114015,5,combinations_with_rep,0.08,5
125,0.015000994205474854,5,product,0.09,5
100,0.016960530281066893,5,permutations,0.09,5
75,0.01343838930130005,5,combinations_with_rep,0.09,5
125,0.014844732284545898,5,product,0.1,5
50,0.015001006126403808,4,combinations_with_rep,0.24,5
80,0.014063434600830078,4,product,0.25,5
60,0.010469436645507812,4,permutations,0.25,5
50,0.01611013650894165,4,combinations_with_rep,0.25,5
125,0.028126859664916994,5,product,0.05,5
100,0.027510385513305664,5,permutations,0.05,5
75,0.03234588384628296,5,combinations_with_rep,0.05,5
125,0.01992948293685913,5,product,0.060000000000000005,5
100,0.02047010898590088,5,permutations,0.060000000000000005,5
75,0.01861286401748657,5,combinations_with_rep,0.060000000000000005,5
100,0.014063429832458497,5,permutations,0.1,5
75,0.014219696521759034,5,combinations_with_rep,0.1,5
125,0.014856796264648437,5,product,0.11,5
100,0.015157244205474853,5,permutations,0.11,5
75,0.015469775199890137,5,combinations_with_rep,0.11,5
125,0.01312587022781372,5,product,0.12000000000000001,5
100,0.015241670608520507,5,permutations,0.12000000000000001,5
75,0.01296962022781372,5,combinations_with_rep,0.12000000000000001,5
125,0.014375941753387451,5,product,0.13,5
100,0.012206213474273682,5,permutations,0.13,5
75,0.011875786781311036,5,combinations_with_rep,0.13,5
125,0.012356624603271485,5,product,0.14,5
100,0.014063434600830078,5,permutations,0.14,5
75,0.013282124996185302,5,combinations_with_rep,0.14,5
125,0.010781972408294678,5,product,0.15000000000000002,5
100,0.01399158239364624,5,permutations,0.15000000000000002,5
75,0.014375953674316407,5,combinations_with_rep,0.15000000000000002,5
125,0.012032043933868409,5,product,0.16,5
